dtime,time,open,high,low,close,vwap,volume,count
2021-12-01 09:38:00,1638351480,57009.5,57061.7,57009.5,57061.6,57057.6,0.55692533,26
2021-12-01 09:39:00,1638351540,57061.7,57113.5,57061.7,57095.2,57096.4,0.15024033,15
2021-12-01 09:40:00,1638351600,57114.3,57114.3,57063.2,57063.2,57097.2,0.06570808,5
2021-12-01 09:41:00,1638351660,57056.0,57076.9,57056.0,57076.9,57056.8,1.5001,11
2021-12-01 09:42:00,1638351720,57062.5,57062.6,57049.5,57049.5,57056.6,0.00908692,3
2021-12-01 09:43:00,1638351780,57040.6,57081.8,57040.6,57081.8,57054.9,0.03612416,6
2021-12-01 09:44:00,1638351840,57086.7,57091.2,57086.7,57091.2,57088.9,0.01135905,7
2021-12-01 09:45:00,1638351900,57091.2,57136.1,57091.2,57114.8,57116.4,0.99972422,49
2021-12-01 09:46:00,1638351960,57114.7,57114.7,57059.2,57063.4,57061.0,1.29713142,26
2021-12-01 09:47:00,1638352020,57062.6,57086.0,57062.4,57086.0,57069.8,2.10462154,49
2021-12-01 09:48:00,1638352080,57083.4,57097.0,57083.4,57091.1,57094.9,0.18836106,9
2021-12-01 09:49:00,1638352140,57087.6,57090.1,57087.6,57090.1,57087.8,0.01837015,5
2021-12-01 09:50:00,1638352200,57079.3,57118.8,57079.3,57118.8,57098.9,0.18357848,12
2021-12-01 09:51:00,1638352260,57118.7,57118.7,57067.9,57068.0,57081.8,0.27185557,17
2021-12-01 09:52:00,1638352320,57068.1,57068.1,57055.9,57055.9,57063.2,0.81596199,17
2021-12-01 09:53:00,1638352380,57055.8,57108.7,57055.8,57108.7,57072.1,0.21830544,17
2021-12-01 09:54:00,1638352440,57108.6,57148.8,57108.6,57148.7,57114.5,0.2561857,15
2021-12-01 09:55:00,1638352500,57148.7,57165.8,57148.7,57165.8,57152.5,0.14043262,15
2021-12-01 09:56:00,1638352560,57171.6,57204.2,57153.5,57155.5,57180.4,0.25489429,24
2021-12-01 09:57:00,1638352620,57153.4,57153.5,57153.4,57153.5,57153.4,0.01271917,4
2021-12-01 09:58:00,1638352680,57153.5,57180.3,57153.5,57163.5,57171.9,0.16203958,14
2021-12-01 09:59:00,1638352740,57163.5,57163.6,57163.4,57163.4,57163.4,0.00889025,7
2021-12-01 10:00:00,1638352800,57163.5,57168.8,57150.1,57168.7,57165.6,0.21156195,13
2021-12-01 10:01:00,1638352860,57168.8,57179.2,57168.8,57171.5,57177.0,0.01242412,8
2021-12-01 10:02:00,1638352920,57173.3,57201.3,57173.3,57201.3,57182.9,0.08563312,15
2021-12-01 10:03:00,1638352980,57201.3,57207.6,57194.5,57207.6,57195.5,0.03690981,5
2021-12-01 10:04:00,1638353040,57205.9,57205.9,57201.8,57204.0,57202.8,0.03332777,5
2021-12-01 10:05:00,1638353100,57204.0,57213.0,57203.9,57204.1,57207.0,0.275518,17
2021-12-01 10:06:00,1638353160,57205.9,57205.9,57179.1,57179.1,57203.1,5.56527458,20
2021-12-01 10:07:00,1638353220,57172.9,57172.9,57161.6,57161.6,57171.7,0.25682547,13
2021-12-01 10:08:00,1638353280,57155.0,57155.1,57104.9,57104.9,57148.5,1.64684219,51
2021-12-01 10:09:00,1638353340,57102.0,57102.0,57095.1,57101.1,57097.4,0.0011621,5
2021-12-01 10:10:00,1638353400,57095.3,57095.3,57095.0,57095.1,57095.1,0.06512799,5
2021-12-01 10:11:00,1638353460,57095.1,57095.1,57095.0,57095.0,57095.0,0.02989295,4
2021-12-01 10:12:00,1638353520,57095.0,57095.0,57091.2,57091.3,57092.0,0.02224087,6
2021-12-01 10:13:00,1638353580,57091.3,57091.3,57091.3,57091.3,57091.3,0.09949607,8
2021-12-01 10:14:00,1638353640,57091.2,57091.3,57091.2,57091.3,57091.2,0.02961176,8
2021-12-01 10:15:00,1638353700,57091.2,57091.2,57076.0,57076.1,57077.8,0.13291274,13
2021-12-01 10:16:00,1638353760,57076.0,57076.1,57076.0,57076.1,57076.0,0.00142158,3
2021-12-01 10:17:00,1638353820,57076.1,57077.2,57076.1,57077.1,57076.8,0.12758553,6
2021-12-01 10:18:00,1638353880,57077.2,57141.3,57077.1,57141.3,57081.7,1.28107311,33
2021-12-01 10:19:00,1638353940,57142.8,57154.7,57142.8,57154.7,57145.5,0.0034172,4
2021-12-01 10:20:00,1638354000,57147.8,57147.8,57121.0,57121.0,57138.5,0.20702059,8
